# Aleocrophic Module Library Catalog (Text Format)
# Last Updated: 2025-12-27 00:41:00
# Format: [nama_module]|[versi]|[source_url]

aiohttp|3.9.1|https://pypi.org/project/aiohttp/
argon2-cffi|23.1.0|https://pypi.org/project/argon2-cffi/
beautifulsoup4|4.12.2|https://pypi.org/project/beautifulsoup4/
bcrypt|4.1.1|https://pypi.org/project/bcrypt/
browser-cookie3|0.19.1|https://pypi.org/project/browser-cookie3/
click|8.1.7|https://pypi.org/project/click/
colorama|0.4.6|https://pypi.org/project/colorama/
cryptography|41.0.7|https://pypi.org/project/cryptography/
dnspython|2.4.2|https://pypi.org/project/dnspython/
fastapi|0.109.0|https://pypi.org/project/fastapi/
flask|3.0.0|https://pypi.org/project/flask/
httpx|0.25.2|https://pypi.org/project/httpx/
nmap|0.7.1|https://pypi.org/project/python-nmap/
paramiko|3.4.0|https://pypi.org/project/paramiko/
pillow|10.1.0|https://pypi.org/project/Pillow/
psycopg2-binary|2.9.9|https://pypi.org/project/psycopg2-binary/
pycryptodome|3.19.0|https://pypi.org/project/pycryptodome/
pymongo|4.6.0|https://pypi.org/project/pymongo/
pymysql|1.1.0|https://pypi.org/project/PyMySQL/
pydantic|2.5.0|https://pypi.org/project/pydantic/
python-dotenv|1.0.0|https://pypi.org/project/python-dotenv/
pyyaml|6.0.1|https://pypi.org/project/PyYAML/
requests|2.31.0|https://pypi.org/project/requests/
rich|13.7.0|https://pypi.org/project/rich/
scapy|2.5.0|https://pypi.org/project/scapy/
selenium|4.15.2|https://pypi.org/project/selenium/
shodan|1.28.2|https://pypi.org/project/shodan/
sqlalchemy|2.0.23|https://pypi.org/project/SQLAlchemy/
textual|0.48.0|https://pypi.org/project/textual/
typer|0.9.0|https://pypi.org/project/typer/
uvicorn|0.24.0|https://pypi.org/project/uvicorn/
